cat /proc/meminfo
MemTotal:         226100 kB
MemFree:          154284 kB
MemAvailable:     152268 kB
Buffers:               0 kB
Cached:             8932 kB
SwapCached:            0 kB
Active:            10112 kB
Inactive:           6716 kB
Active(anon):       8476 kB
Inactive(anon):      908 kB
Active(file):       1636 kB
Inactive(file):     5808 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:          7948 kB
Mapped:             8004 kB
Shmem:              1488 kB
Slab:              18688 kB
SReclaimable:       1016 kB
SUnreclaim:        17672 kB
KernelStack:         800 kB
PageTables:          480 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      113048 kB
Committed_AS:     349888 kB
VmallocTotal:     516096 kB
VmallocUsed:       15016 kB
VmallocChunk:     480896 kB
CmaTotal:              0 kB
CmaFree:               0 kB
/tmp # echo ZZ_END
ZZ_END
/tmp # 
