    0 a 00000001 00000001 bf0fc994 00000001
    1 k 00000001 0013dd00 bf0fc9b0 00000001
    2 M 00000001 040200ff bf0fc710 00000001
    3 x 00000001 00000002 bf0fc908 00000001
    4 l 00000000 00000000 00000001 00000320
    5 l 00000000 00000003 00000001 00000190
    6 l 00000000 00000004 00000001 00000190
    7 l 00000000 00000005 00000001 00000190
    8 l 00000000 00000006 00000001 000003e8
    9 l 00000001 00000000 00000001 00000320
   10 l 00000001 00000003 00000001 00000190
   11 l 00000001 00000004 00000001 00000190
   12 l 00000001 00000005 00000001 00000190
   13 l 00000001 00000006 00000001 000003e8
   14 J 00000000 00000000 00000007 00000000
   15 J 00000000 00000001 00000007 00000000
   16 J 00000000 00000002 00000006 00000000
   17 J 00000000 0000002d 00000006 00000000
   18 J 00000000 0000002e 00000006 00000000
   19 J 00000000 0000002f 00000006 00000000
   20 J 00000000 00000030 00000006 00000000
   21 J 00000000 00000008 00000006 00000000
   22 J 00000000 00000009 00000006 00000000
   23 J 00000000 0000000a 00000006 00000000
   24 J 00000000 0000000b 00000006 00000000
   25 J 00000000 0000000c 00000006 00000000
   26 J 00000000 00000010 00000006 00000000
   27 J 00000000 00000011 00000006 00000000
   28 J 00000000 00000012 00000006 00000000
   29 J 00000000 00000013 00000006 00000000
   30 J 00000000 00000014 00000006 00000000
   31 J 00000000 00000015 00000006 00000000
   32 J 00000000 00000016 00000006 00000000
   33 J 00000000 0000001b 00000006 00000000
   34 J 00000000 0000001c 00000006 00000000
   35 J 00000000 0000001d 00000006 00000000
   36 J 00000000 0000001e 00000006 00000000
   37 J 00000000 0000001f 00000006 00000000
   38 J 00000000 00000020 00000006 00000000
   39 J 00000000 00000021 00000006 00000000
   40 J 00000000 00000022 00000006 00000000
   41 J 00000000 00000023 00000006 00000000
   42 J 00000000 00000024 00000006 00000000
   43 J 00000000 00000025 00000006 00000000
   44 J 00000000 00000026 00000006 00000000
   45 J 00000000 00000027 00000006 00000000
   46 J 00000000 00000028 00000006 00000000
   47 J 00000000 00000029 00000006 00000000
   48 J 00000000 0000002a 00000006 00000000
   49 J 00000000 0000002b 00000006 00000000
   50 J 00000000 00000048 00000006 00000000
   51 J 00000000 00000049 00000006 00000000
   52 J 00000000 0000002c 00000005 00000000
   53 J 00000000 00000053 00000005 00000000
   54 J 00000000 00000003 00000004 00000000
   55 J 00000000 00000004 00000004 00000000
   56 J 00000000 00000005 00000004 00000000
   57 J 00000000 00000006 00000004 00000000
   58 J 00000000 00000007 00000004 00000000
   59 J 00000000 0000000d 00000004 00000000
   60 J 00000000 0000000e 00000004 00000000
   61 J 00000000 0000000f 00000004 00000000
   62 J 00000000 00000017 00000004 00000000
   63 J 00000000 00000018 00000004 00000000
   64 J 00000000 00000019 00000004 00000000
   65 J 00000000 0000001a 00000004 00000000
   66 J 00000000 00000033 00000004 00000000
   67 J 00000000 00000034 00000004 00000000
   68 J 00000000 00000035 00000004 00000000
   69 J 00000000 00000036 00000004 00000000
   70 J 00000000 00000037 00000004 00000000
