Stock-table register name mapping
=================================

Each entry of zx_stock_init_table[] (zx_stock_table.h) is
written by the driver during probe. This file maps each entry
index → its underlying HW register, where derivable from the
descriptor tables in zx-fpga-reg-tables.h.

Mapping rule:
  fpga_byte = off + 0x1c0000  (whether off is negative pon_early
                                or non-negative base — same math)
  fpga_word = fpga_byte >> 2

Match against descriptor entries: base_off + stride*sub_idx == fpga_word.
Multiple regs can share the same word (packed bit-fields); shown as alts.

  /*    0*/ off=  -0x1c0000 val=0xffffffff  → zx_redregtable[reg_id=0, sub=0] ? mask=0x0 shift=0 + 27 bitfield alts
  /*    1*/ off=  -0x1bfffc val=0xffffffff  → UNKNOWN (fpga word 0x1)
  /*  501*/ off=  -0x16ebe0 val=0x00000300  → UNKNOWN (fpga word 0x14508)
  /* 1001*/ off=  -0x15cf98 val=0x61a88158  → UNKNOWN (fpga word 0x18c1a)
  /* 1501*/ off=  -0x14afe8 val=0x00000002  → UNKNOWN (fpga word 0x1d406)
  /* 2001*/ off=   -0xfff0c val=0x00004bef  → UNKNOWN (fpga word 0x3003d)
  /* 2501*/ off=   -0xff73c val=0x00004bef  → UNKNOWN (fpga word 0x30231)
  /* 3001*/ off=   -0xfef6c val=0x00004bef  → UNKNOWN (fpga word 0x30425)
  /* 3501*/ off=   -0xfe79c val=0x00004bef  → UNKNOWN (fpga word 0x30619)
  /* 4001*/ off=   -0xfdfcc val=0x00004bef  → UNKNOWN (fpga word 0x3080d)
  /* 4501*/ off=   -0xfd7fc val=0x00004bef  → UNKNOWN (fpga word 0x30a01)
  /* 5001*/ off=   -0xfd02c val=0x00004bef  → UNKNOWN (fpga word 0x30bf5)
  /* 5501*/ off=   -0xfc85c val=0x00004bef  → UNKNOWN (fpga word 0x30de9)
  /* 6001*/ off=   -0xfc08c val=0x00004bef  → UNKNOWN (fpga word 0x30fdd)
  /* 6501*/ off=   -0xe87d8 val=0x00204081  → UNKNOWN (fpga word 0x35e0a)
  /* 7001*/ off=   -0xbf3e8 val=0x00001f40  → UNKNOWN (fpga word 0x40306)
  /* 7501*/ off=   -0xb9b24 val=0x00000002  → UNKNOWN (fpga word 0x41937)
  /* 8001*/ off=   -0xb3fac val=0x00989680  → UNKNOWN (fpga word 0x43015)
  /* 8501*/ off=   -0xae3d0 val=0x00000010  → UNKNOWN (fpga word 0x4470c)
  /* 9001*/ off=   -0xa87f8 val=0x00001f40  → UNKNOWN (fpga word 0x45e02)
  /* 9501*/ off=   -0xa2f48 val=0x00000080  → UNKNOWN (fpga word 0x4742e)
  /*10001*/ off=   -0x9d3b4 val=0x00000096  → UNKNOWN (fpga word 0x48b13)
  /*10501*/ off=   -0x977dc val=0x0000000a  → UNKNOWN (fpga word 0x4a209)
  /*11001*/ off=   -0x91f18 val=0x00020000  → UNKNOWN (fpga word 0x4b83a)
  /*11501*/ off=   -0x8c368 val=0x01c00830  → UNKNOWN (fpga word 0x4cf26)
  /*12001*/ off=   -0x867bc val=0x000000c8  → UNKNOWN (fpga word 0x4e611)
  /*12501*/ off=   -0x80be8 val=0x00001f40  → UNKNOWN (fpga word 0x4fd06)
  /*13001*/ off=   -0x6a3c8 val=0x00000010  → UNKNOWN (fpga word 0x5570e)
  /*13501*/ off=   -0x513c8 val=0x00000010  → UNKNOWN (fpga word 0x5bb0e)
  /*13844*/ off=        0x4 val=0xffffffff  → zx_gregregtable[reg_id=12, sub=0] RW mask=0x1 shift=18 + 11 bitfield alts
  /*13845*/ off=        0xc val=0x0003ffff  → zx_gregregtable[reg_id=28, sub=0] RW mask=0x1f shift=0
  /*13851*/ off=      0x114 val=0x00000004  → zx_gregregtable[reg_id=68, sub=0] RW mask=0xf shift=0
  /*14004*/ off=     0x1d98 val=0x000186a0  → UNKNOWN (fpga word 0x70766)
  /*14180*/ off=     0x4000 val=0x07cc000c  → zx_sdetgregtable[reg_id=0, sub=0] RW mask=0x3fff shift=16 + 1 bitfield alts
  /*14182*/ off=     0x40f0 val=0x00008100  → zx_sdetgregtable[reg_id=14, sub=0] RW mask=0xffff shift=0
  /*14192*/ off=     0x4220 val=0x30000000  → zx_sdetgregtable[reg_id=16, sub=0] RW mask=0x3fff shift=16
  /*14193*/ off=     0x4224 val=0x00000001  → zx_sdetgregtable[reg_id=17, sub=0] RW mask=0x3f shift=0
  /*14195*/ off=     0x4250 val=0x07cc07cc  → zx_sdetgregtable[reg_id=1, sub=0] RW mask=0x3fff shift=0 + 1 bitfield alts
  /*14196*/ off=     0x4254 val=0x07cc07cc  → zx_sdetgregtable[reg_id=3, sub=0] RW mask=0x3fff shift=0 + 1 bitfield alts
  /*14510*/ off=     0x7918 val=0x2d2d2d00  → UNKNOWN (fpga word 0x71e46)
  /*14548*/ off=     0xc000 val=0x00000011  → zx_sipcregtable[reg_id=0, sub=0] RW mask=0x1 shift=0 + 1 bitfield alts
  /*15011*/ off=     0xe4d4 val=0x00110011  → UNKNOWN (fpga word 0x73935)
  /*15348*/ off=    0x14000 val=0xffffffff  → zx_sparegtable[reg_id=0, sub=0] RW mask=0xffffffff shift=0
  /*15349*/ off=    0x14004 val=0xffffffff  → zx_sparegtable[reg_id=0, sub=1] RW mask=0xffffffff shift=0
  /*15350*/ off=    0x14008 val=0x00003fff  → zx_sparegtable[reg_id=0, sub=2] RW mask=0xffffffff shift=0
  /*15351*/ off=    0x1400c val=0xffffffff  → zx_sparegtable[reg_id=0, sub=3] RW mask=0xffffffff shift=0 + 1 bitfield alts
  /*15352*/ off=    0x14010 val=0x3fffffff  → zx_sparegtable[reg_id=2, sub=1] RW mask=0xffffffff shift=0
  /*15353*/ off=    0x14014 val=0x01400007  → zx_sparegtable[reg_id=2, sub=2] RW mask=0xffffffff shift=0 + 1 bitfield alts
  /*15354*/ off=    0x14018 val=0x00000001  → zx_sparegtable[reg_id=5, sub=0] R mask=0x1 shift=0
  /*15355*/ off=    0x14040 val=0xffffffff  → zx_sparegtable[reg_id=1, sub=0] RW mask=0xffffffff shift=0
  /*15356*/ off=    0x14044 val=0xffffffff  → zx_sparegtable[reg_id=1, sub=1] RW mask=0xffffffff shift=0
  /*15357*/ off=    0x14048 val=0x0007ffff  → zx_sparegtable[reg_id=1, sub=2] RW mask=0xffffffff shift=0
  /*15358*/ off=    0x1404c val=0xffffffff  → zx_sparegtable[reg_id=1, sub=3] RW mask=0xffffffff shift=0 + 1 bitfield alts
  /*15359*/ off=    0x14050 val=0xffffffff  → zx_sparegtable[reg_id=3, sub=1] RW mask=0xffffffff shift=0
  /*15360*/ off=    0x14054 val=0x03ff05dc  → zx_sparegtable[reg_id=3, sub=2] RW mask=0xffffffff shift=0
  /*15362*/ off=    0x14064 val=0x0000007f  → zx_sparegtable[reg_id=9, sub=0] RW mask=0x7f shift=0
  /*15363*/ off=    0x1407c val=0x00000001  → zx_sparegtable[reg_id=18, sub=0] RW mask=0x3 shift=0 + 1 bitfield alts
  /*15367*/ off=    0x14120 val=0x470f4264  → zx_sparegtable[reg_id=22, sub=0] RW mask=0xffffffff shift=0
  /*15368*/ off=    0x14124 val=0x0000f4f6  → zx_sparegtable[reg_id=23, sub=0] RW mask=0xffff shift=0
  /*15369*/ off=    0x14128 val=0x470f4265  → zx_sparegtable[reg_id=22, sub=1] RW mask=0xffffffff shift=0
  /*15370*/ off=    0x1412c val=0x0000f4f6  → zx_sparegtable[reg_id=23, sub=1] RW mask=0xffff shift=0
  /*15371*/ off=    0x14130 val=0x470f4266  → zx_sparegtable[reg_id=22, sub=2] RW mask=0xffffffff shift=0
  /*15372*/ off=    0x14134 val=0x0000f4f6  → zx_sparegtable[reg_id=23, sub=2] RW mask=0xffff shift=0
  /*15373*/ off=    0x14138 val=0x470f4267  → zx_sparegtable[reg_id=22, sub=3] RW mask=0xffffffff shift=0
  /*15374*/ off=    0x1413c val=0x0000f4f6  → zx_sparegtable[reg_id=23, sub=3] RW mask=0xffff shift=0
  /*15375*/ off=    0x14240 val=0x00650650  → zx_sparegtable[reg_id=34, sub=0] RW mask=0x7 shift=0 + 7 bitfield alts
  /*15376*/ off=    0x14244 val=0x00650650  → zx_sparegtable[reg_id=42, sub=0] RW mask=0x7 shift=0 + 7 bitfield alts
  /*15377*/ off=    0x14248 val=0x00650650  → zx_sparegtable[reg_id=34, sub=1] RW mask=0x7 shift=0 + 7 bitfield alts
  /*15378*/ off=    0x1424c val=0x00650650  → zx_sparegtable[reg_id=42, sub=1] RW mask=0x7 shift=0 + 7 bitfield alts
  /*15379*/ off=    0x14250 val=0x00650650  → zx_sparegtable[reg_id=34, sub=2] RW mask=0x7 shift=0 + 7 bitfield alts
  /*15380*/ off=    0x14254 val=0x00650650  → zx_sparegtable[reg_id=42, sub=2] RW mask=0x7 shift=0 + 7 bitfield alts
  /*15381*/ off=    0x14258 val=0x00650650  → zx_sparegtable[reg_id=34, sub=3] RW mask=0x7 shift=0 + 7 bitfield alts
  /*15382*/ off=    0x1425c val=0x00650650  → zx_sparegtable[reg_id=42, sub=3] RW mask=0x7 shift=0 + 7 bitfield alts
  /*15383*/ off=    0x14260 val=0x00650650  → zx_sparegtable[reg_id=34, sub=4] RW mask=0x7 shift=0 + 7 bitfield alts
  /*15384*/ off=    0x14264 val=0x00650650  → zx_sparegtable[reg_id=42, sub=4] RW mask=0x7 shift=0 + 7 bitfield alts
  /*15385*/ off=    0x14268 val=0x00650650  → zx_sparegtable[reg_id=34, sub=5] RW mask=0x7 shift=0 + 7 bitfield alts
  /*15386*/ off=    0x1426c val=0x00650650  → zx_sparegtable[reg_id=42, sub=5] RW mask=0x7 shift=0 + 7 bitfield alts
  /*15387*/ off=    0x14270 val=0x00650650  → zx_sparegtable[reg_id=34, sub=6] RW mask=0x7 shift=0 + 7 bitfield alts
  /*15388*/ off=    0x14274 val=0x00650650  → zx_sparegtable[reg_id=42, sub=6] RW mask=0x7 shift=0 + 7 bitfield alts
  /*15389*/ off=    0x14278 val=0x00650650  → zx_sparegtable[reg_id=34, sub=7] RW mask=0x7 shift=0 + 7 bitfield alts
  /*15390*/ off=    0x1427c val=0x00650650  → zx_sparegtable[reg_id=42, sub=7] RW mask=0x7 shift=0 + 7 bitfield alts
  /*15391*/ off=    0x14280 val=0x00650650  → zx_sparegtable[reg_id=34, sub=8] RW mask=0x7 shift=0 + 7 bitfield alts
  /*15392*/ off=    0x14284 val=0x00650650  → zx_sparegtable[reg_id=42, sub=8] RW mask=0x7 shift=0 + 7 bitfield alts
  /*15393*/ off=    0x14300 val=0x50555555  → zx_sparegtable[reg_id=67, sub=0] RW mask=0x3 shift=0 + 15 bitfield alts
  /*15394*/ off=    0x14304 val=0x95541555  → zx_sparegtable[reg_id=83, sub=0] RW mask=0x3 shift=0 + 15 bitfield alts
  /*15395*/ off=    0x14308 val=0x10554155  → zx_sparegtable[reg_id=99, sub=0] RW mask=0x3 shift=0 + 12 bitfield alts
  /*15396*/ off=    0x1430c val=0x55555555  → zx_sparegtable[reg_id=112, sub=0] RW mask=0x3 shift=0 + 15 bitfield alts
  /*15397*/ off=    0x14310 val=0x000005aa  → zx_sparegtable[reg_id=128, sub=0] RW mask=0x3 shift=0 + 5 bitfield alts
  /*15398*/ off=    0x14314 val=0x50555555  → zx_sparegtable[reg_id=67, sub=1] RW mask=0x3 shift=0 + 15 bitfield alts
  /*15399*/ off=    0x14318 val=0x15551555  → zx_sparegtable[reg_id=83, sub=1] RW mask=0x3 shift=0 + 15 bitfield alts
  /*15400*/ off=    0x1431c val=0x10554045  → zx_sparegtable[reg_id=99, sub=1] RW mask=0x3 shift=0 + 12 bitfield alts
  /*15401*/ off=    0x14320 val=0x55555555  → zx_sparegtable[reg_id=112, sub=1] RW mask=0x3 shift=0 + 15 bitfield alts
  /*15402*/ off=    0x14328 val=0x50555555  → zx_sparegtable[reg_id=67, sub=2] RW mask=0x3 shift=0 + 15 bitfield alts
  /*15403*/ off=    0x1432c val=0x15551555  → zx_sparegtable[reg_id=83, sub=2] RW mask=0x3 shift=0 + 15 bitfield alts
  /*15404*/ off=    0x14330 val=0x10554045  → zx_sparegtable[reg_id=99, sub=2] RW mask=0x3 shift=0 + 12 bitfield alts
  /*15405*/ off=    0x14334 val=0x55555555  → zx_sparegtable[reg_id=112, sub=2] RW mask=0x3 shift=0 + 15 bitfield alts
