### regport2 (logical port1, FAILS) — ram2
ram2 a0x021: 01005055 00154000 80000408 90000817 00000042 000000e0 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000   | inport=2 cpu_qid=0x15 valid/dir=0x42
ram2 a0x093: 01005055 00154000 80000408 80000817 80000042 00c20001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000   | inport=2 cpu_qid=0x15 valid/dir=0x42
ram2 a0x121: 01005055 00154000 80000408 90000817 00000042 000000e0 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000   | inport=2 cpu_qid=0x15 valid/dir=0x42
ram2 a0x193: 01005055 00154000 80000408 80000817 80000042 00c20001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000   | inport=2 cpu_qid=0x15 valid/dir=0x42
ram2 a0x221: 01005055 00154000 80000408 90000817 00000042 000000e0 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000   | inport=2 cpu_qid=0x15 valid/dir=0x42
ram2 a0x293: 01005055 00154000 80000408 80000817 80000042 00c20001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000   | inport=2 cpu_qid=0x15 valid/dir=0x42
ram2 a0x321: 01005055 00154000 80000408 90000817 00000042 000000e0 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000   | inport=2 cpu_qid=0x15 valid/dir=0x42
ram2 a0x393: 01005055 00154000 80000408 80000817 80000042 00c20001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000   | inport=2 cpu_qid=0x15 valid/dir=0x42
### regport3 (logical port2, WORKS) — ram2
ram2 a0x079: 01005055 00154000 80000408 80000c17 80000043 00c20001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000   | inport=3 cpu_qid=0x15 valid/dir=0x43
ram2 a0x0cb: 01005055 00154000 80000408 90000c17 00000043 000000e0 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000   | inport=3 cpu_qid=0x15 valid/dir=0x43
ram2 a0x179: 01005055 00154000 80000408 80000c17 80000043 00c20001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000   | inport=3 cpu_qid=0x15 valid/dir=0x43
ram2 a0x1cb: 01005055 00154000 80000408 90000c17 00000043 000000e0 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000   | inport=3 cpu_qid=0x15 valid/dir=0x43
ram2 a0x279: 01005055 00154000 80000408 80000c17 80000043 00c20001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000   | inport=3 cpu_qid=0x15 valid/dir=0x43
ram2 a0x2cb: 01005055 00154000 80000408 90000c17 00000043 000000e0 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000   | inport=3 cpu_qid=0x15 valid/dir=0x43
