# functions touching SoC peripherals (eth-relevant base ranges)
# format: <fn_entry>  <classifier>=<count of distinct addrs>  ...

40e00a48  PINMUX=1  | 0x94200000[PINMUX]
40e00b78  GIC=1 TOPCRM=1  | 0x80000000[GIC] 0x94000000[TOPCRM]
40e00d24  GIC=1 TOPCRM=1  | 0x80000000[GIC] 0x94000000[TOPCRM]
40e00e6c  TOPCRM=1  | 0x94000000[TOPCRM]
40e01f28  TOPCRM=1  | 0x94000000[TOPCRM]
40e023a8  PINMUX=1  | 0x94200000[PINMUX]
40e02424  TOPCRM=1  | 0x94000000[TOPCRM]
40e0275c  TOPCRM=1  | 0x94000000[TOPCRM]
40e02b00  GIC=1  | 0x80000000[GIC]
40e03dec  GIC=1  | 0x80000002[GIC]
40e20eac  GIC=1 TOPCRM=1  | 0x80000000[GIC] 0x94000000[TOPCRM]
40e20fc8  TOPCRM=1  | 0x94000000[TOPCRM]
40e21040  TOPCRM=1  | 0x94000000[TOPCRM]
40e210ec  PINMUX=1  | 0x94200000[PINMUX]
40e219e0  GIC=1 TOPCRM=1  | 0x80000000[GIC] 0x94000000[TOPCRM]
40e21b94  TOPCRM=1  | 0x94000000[TOPCRM]
40e30a10  GIC=1  | 0x80000003[GIC]
40e37aac  PINMUX=1  | 0x94200000[PINMUX]
40e3e528  PINMUX=1 TOPCRM=1  | 0x94200000[PINMUX] 0x94000000[TOPCRM]
40e3e72c  PINMUX=1 TOPCRM=1  | 0x94200000[PINMUX] 0x94000000[TOPCRM]
40e3fd08  PINMUX=1 TOPCRM=1  | 0x94200000[PINMUX] 0x94000000[TOPCRM]
40e40094  MDIO=1  | 0x9a101000[MDIO]
40e40844  TOPCRM=1  | 0x94000000[TOPCRM]
40e4f1e0  TOPCRM=1  | 0x94000000[TOPCRM]
40e4f2a8  PINMUX=1  | 0x94200000[PINMUX]
40e4f580  GIC=1  | 0x80000000[GIC]
40e4f700  GIC=1  | 0x80000000[GIC]
40e4f894  GIC=1  | 0x80000000[GIC]
40e4fa08  GIC=1 TOPCRM=2  | 0x80000000[GIC] 0x94000000[TOPCRM] 0x94000050[TOPCRM]
40e4fa9c  GIC=1 SERDES=1  | 0x800010a7[GIC] 0x9fe00000[SERDES]
40e4fc7c  SYSCTRL=1 TOPCRM=1  | 0x94100000[SYSCTRL] 0x94000000[TOPCRM]
40e4fe5c  TM=2  | 0x92340000[TM] 0x92348000[TM]
40e4ff74  TM=1  | 0x92348000[TM]
40e4ff88  TM=1  | 0x92348000[TM]
40e50060  TM=1  | 0x92344000[TM]
40e50384  TM=1  | 0x92340000[TM]
40e50a4c  TM=1  | 0x9234c000[TM]
40e50c40  GIC=1 MAC0=2  | 0x80000001[GIC] 0x92200070[MAC0] 0x922000e0[MAC0]
40e5104c  GIC=1  | 0x80000000[GIC]
